DriverNumber,BroadcastName,TeamName,Round_Number,Country,Location,Year,Event_Type,Sprint_Qual_Position,Sprint_Race_Position,Qual_Q3_Time,Qual_Position,Sector1Time,Sector2Time,Sector3Time,SpeedST,Stint,Standardized_Time,Race_Position
44,L HAMILTON,Mercedes,2,Saudi Arabia,Jeddah,2022,Race,,,-1.0,16.0,37.22461224489796,32.38706,32.94574,286.82,2.0,73.948,10.0
47,,Haas F1 Team,2,Saudi Arabia,Jeddah,2022,Race,,,-1.0,14.0,,,,,,-1.0,
55,C SAINZ,Ferrari,2,Saudi Arabia,Jeddah,2022,Race,,,88.402,3.0,36.670204081632654,31.9143,32.72666,278.56,2.0,8.097,3.0
6,N LATIFI,Williams,2,Saudi Arabia,Jeddah,2022,Race,,,-1.0,19.0,36.85030769230769,31.131071428571428,30.38264285714285,311.1428571428572,1.0,-1.0,18.0
63,G RUSSELL,Mercedes,2,Saudi Arabia,Jeddah,2022,Race,,,89.104,6.0,36.72212244897959,32.04614,33.01462,281.36,2.0,32.732,5.0
77,V BOTTAS,Alfa Romeo,2,Saudi Arabia,Jeddah,2022,Race,,,89.183,8.0,38.298342857142856,32.45697222222222,33.5725,285.27777777777777,3.0,-1.0,15.0
1,M VERSTAPPEN,Red Bull Racing,3,Australia,Melbourne,2022,Race,,,78.154,2.0,32.50408108108108,20.95310526315789,41.36844736842105,264.52777777777777,2.0,-1.0,18.0
10,P GASLY,AlphaTauri,3,Australia,Melbourne,2022,Race,,,-1.0,11.0,31.49357894736842,20.211672413793103,40.28958620689655,283.75471698113205,2.0,76.221,9.0
11,S PEREZ,Red Bull Racing,3,Australia,Melbourne,2022,Race,,,78.24,3.0,31.12735087719298,20.199603448275862,39.741258620689656,274.1132075471698,2.0,20.524,2.0
14,F ALONSO,Alpine,3,Australia,Melbourne,2022,Race,,,-1.0,10.0,31.712732142857146,20.368754385964916,40.72159649122807,276.6666666666667,3.0,-1.0,17.0
16,C LECLERC,Ferrari,3,Australia,Melbourne,2022,Race,,,77.868,1.0,31.363508771929823,20.032293103448275,39.3566551724138,269.4130434782609,2.0,0.0,1.0
18,L STROLL,Aston Martin,3,Australia,Melbourne,2022,Race,,,-1.0,20.0,31.52770175438597,19.81853448275862,40.72124137931034,280.8421052631579,4.0,88.598,12.0
20,K MAGNUSSEN,Haas F1 Team,3,Australia,Melbourne,2022,Race,,,-1.0,17.0,31.55673214285714,20.374491228070177,40.37205263157895,270.72549019607845,2.0,-1.0,14.0
22,Y TSUNODA,AlphaTauri,3,Australia,Melbourne,2022,Race,,,-1.0,13.0,31.62248214285714,20.26871929824561,40.4789649122807,275.8490566037736,2.0,-1.0,15.0
23,A ALBON,Williams,3,Australia,Melbourne,2022,Race,,,-1.0,16.0,31.55857894736842,19.977706896551727,40.454241379310346,276.625,2.0,79.382,10.0
24,G ZHOU,Alfa Romeo,3,Australia,Melbourne,2022,Race,,,-1.0,14.0,31.61733333333333,20.305155172413794,40.13412068965517,276.30357142857144,2.0,81.695,11.0
3,D RICCIARDO,McLaren,3,Australia,Melbourne,2022,Race,,,79.032,7.0,31.3529649122807,20.042706896551724,40.22377586206896,278.05882352941177,2.0,53.737,6.0
31,E OCON,Alpine,3,Australia,Melbourne,2022,Race,,,79.061,8.0,31.343087719298246,20.17046551724138,40.23468965517242,278.3529411764706,2.0,61.683,7.0
